1,-1,-1,The Lion King,4
2,-1,-1,The Lion King,Not Seen
3,-1,-1,The Lion King,Not Seen
4,-1,-1,The Lion King,5 (Best)
5,-1,-1,The Lion King,3
6,-1,-1,The Lion King,5 (Best)
7,-1,-1,The Lion King,Not Seen
8,-1,-1,The Lion King,4
9,-1,-1,The Lion King,4
10,-1,-1,The Lion King,4
11,-1,-1,The Lion King,2
12,-1,-1,The Lion King,4
13,-1,-1,The Lion King,3
14,-1,-1,The Lion King,Not Seen
15,-1,-1,The Lion King,4
16,-1,-1,The Lion King,5 (Best)
17,-1,-1,The Lion King,Not Seen
18,-1,-1,The Lion King,5 (Best)
19,-1,-1,The Lion King,5 (Best)
20,-1,-1,The Lion King,5 (Best)
21,-1,-1,The Lion King,3
22,31,Female,The Lion King,4
23,23,Female,The Lion King,4
24,27,Female,The Lion King,4
25,23,Female,The Lion King,4
26,24,Female,The Lion King,Not Seen
27,22,Female,The Lion King,Not Seen
28,23,Female,The Lion King,4
29,54,Male,The Lion King,Not Seen
30,26,Female,The Lion King,5 (Best)
31,24,Female,The Lion King,Not Seen
32,26,Male,The Lion King,Not Seen
33,26,Male,The Lion King,Not Seen
34,21,Female,The Lion King,Not Seen
35,25,Male,The Lion King,Not Seen
36,30,Male,The Lion King,5 (Best)
37,55,Female,The Lion King,5 (Best)
38,26,Male,The Lion King,Not Seen
39,26,Female,The Lion King,4
40,22,Male,The Lion King,Not Seen
41,32,Female,The Lion King,4
42,23,Female,The Lion King,3
43,27,Male,The Lion King,Not Seen
44,34,Female,The Lion King,5 (Best)
45,41,Female,The Lion King,5 (Best)
46,62,Female,The Lion King,3
47,36,Female,The Lion King,5 (Best)
48,42,Female,The Lion King,4
49,28,Female,The Lion King,5 (Best)
50,39,Female,The Lion King,2
51,27,Male,The Lion King,4
52,21,Female,The Lion King,Not Seen
53,31,Female,The Lion King,5 (Best)
54,27,Male,The Lion King,5 (Best)
55,26,Female,The Lion King,5 (Best)
56,30,Male,The Lion King,3
57,24,Female,The Lion King,5 (Best)
58,51,Male,The Lion King,Not Seen
59,28,Male,The Lion King,4
60,42,Male,The Lion King,3
61,28,Male,The Lion King,Not Seen
62,38,Female,The Lion King,3
63,-1,Male,The Lion King,1 (Worst)
64,27,Male,The Lion King,Not Seen
65,32,Female,The Lion King,4
66,27,Female,The Lion King,5 (Best)
67,30,Female,The Lion King,5 (Best)
68,28,Male,The Lion King,4
69,58,Female,The Lion King,3
70,44,Male,The Lion King,3
71,33,Male,The Lion King,4
72,23,Male,The Lion King,5 (Best)
73,30,Female,The Lion King,Not Seen
74,24,Female,The Lion King,3
75,23,Female,The Lion King,4
76,20,Female,The Lion King,3
77,-1,Male,The Lion King,Not Seen
78,27,Male,The Lion King,5 (Best)
79,27,Female,The Lion King,5 (Best)
80,29,Male,The Lion King,3
81,43,Male,The Lion King,4
82,28,Female,The Lion King,5 (Best)
83,24,Female,The Lion King,4
84,23,Male,The Lion King,5 (Best)
1,-1,-1,Avengers: Endgame,5 (Best)
2,-1,-1,Avengers: Endgame,Not Seen
3,-1,-1,Avengers: Endgame,Not Seen
4,-1,-1,Avengers: Endgame,5 (Best)
